Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Globigerina bulloides,Globigerina foliata,Globigerina umbilicata,Globigerinita glutinata,Globigerinita iota,Globigerinita uvula,Globorotalia hirsuta,Globorotalia scitula,Neogloboquadrina humerosa,Neogloboquadrina inglei,Neogloboquadrina kagaensis,Neogloboquadrina incompta (dextral) ,Neogloboquadrina incompta (sinsitral) ,Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),"Neogloboquadrina pachyderma A (dextral, inflated form)","Neogloboquadrina pachyderma B (sinistral, inflated form)","Neogloboquadrina pachyderma C (sinistral, compressed form)",Orbulina universa,Comments,Ship File Links,Shore File Links,File Data
341-U1417B-2H-CC-PAL,341,U1417,B,2,2-CC,H,CC,PAL,0,5,14.73,14.78,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],R [A83],,,D [A84],R [A84],,,,,,,,,,D [A84],R [A84],,R [A84],,,,,,
341-U1417B-4H-CC-PAL,341,U1417,B,4,4-CC,H,CC,PAL,0,5,31.07,31.12,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],C  [A61],,,A [A84],P [A84],,,,,,,,,,D [A84],R [A84],,,,,sandy,,,
341-U1417B-6H-CC-PAL,341,U1417,B,6,6-CC,H,CC,PAL,0,5,48.99,49.04,CM1 [K00],"N. Pachyderma B partial range zone (Kennett et al., 1990)",,P [P15],P [A83],,,D [A84],,,,,,,,,,,D [A84],,,,,,diatom ooze. pyritilize foram,,,
341-U1417B-9H-CC-PAL,341,U1417,B,9,9-CC,H,CC,PAL,0,5,76.25,76.3,,,,,B [A83],,,,,,,,,,,,,,,,,,,,Rich in sandy terrigenous grains with presence of IRD grains. Partial pyritilization were visible on foraminifer shells.,,,
341-U1417B-10H-CC-PAL,341,U1417,B,10,10-CC,H,CC,PAL,0,10,86.11,86.21,CM2 [K00],"N. pachyderma B - N. pachyderma A (Kennett et al., 1990)",LO Neogloboquadrina inglei Kucera and Kennet (2000),G [P15],A [A83],,,D [A84],P [A84],,,,,,P [A84],,,,D [A84],R [A84],,,,,"Rich in planktic foraminifers, pebbles, pyrite",,,
341-U1417B-12H-CC-PAL,341,U1417,B,12,12-CC,H,CC,PAL,0,5,103.75,103.8,,,,P [P15],P [A83],,,D [A84],,,,,,,,,,,D [A84],,,,,,LO N. inglei ? Their presence are not confirmed in any CCs in this hole. Rich in sandy terrigenous grains and pumice,,,
341-U1417B-21H-2-PAL,341,U1417,B,21,21-2,H,2,PAL,0,5,178.14,178.19,,,,,B [A83],,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-23H-CC-PAL,341,U1417,B,23,23-CC,H,CC,PAL,0,5,187.68,187.73,,,,,B [A83],,,,,,,,,,,,,,,,,,,,,,,
341-U1417B-25H-CC-PAL,341,U1417,B,25,25-CC,H,CC,PAL,0,5,196.27,196.32,,,,,B [A83],,,,,,,,,,,,,,,,,,,,IRD (>710 micro meters) present,,,
341-U1417B-28H-CC-PAL,341,U1417,B,28,28-CC,H,CC,PAL,0,5,207.26,207.31,,,,,B [A83],,,,,,,,,,,,,,,,,,,,Diatom and Radiolarian rich with presence of the IRD (>710 micro meters).,,,
341-U1417B-29H-CC-PAL,341,U1417,B,29,29-CC,H,CC,PAL,0,5,211.75,211.8,,,,,B [A83],,,,,,,,,,,,,,,,,,,,IRD present.,,,
341-U1417B-31H-CC-PAL,341,U1417,B,31,31-CC,H,CC,PAL,0,5,220.98,221.03,,,,,B [A83],,,,,,,,,,,,,,,,,,,,Rich in the sand-sized terrigenous grain with presence of the IRD (>710 micro meters).,,,
341-U1417B-32H-CC-PAL,341,U1417,B,32,32-CC,H,CC,PAL,0,5,222.16,222.21,,,,P [P15],P [A83],,,D [A84],,,,,,,,,,,,,,,,,Rich in the sand-sized terrigenous grain with presence of the IRD (>710 micro meters).,,,
341-U1417B-34X-CC-PAL,341,U1417,B,34,34-CC,H,CC,PAL,0,5,230.75,230.8,CM5 [K00],N. kagaensis partial range zone,LO Neogloboquadrina kagaensis Kucera and Kennet (2000),M [P15],P [A83],,,,,,,,,,,D [A84],,,,,,,,,LO N. kagaensis ? Rich in sandy terrigenous grains.,,,
341-U1417B-39X-CC-PAL,341,U1417,B,39,39-CC,H,CC,PAL,0,5,276.27,276.32,,,,M [P15],P [A83],,,D [A84],,,,,,,,,,,,D [A84],,,,,Rich in sandy terrigenous grains.,,,
341-U1417B-41X-CC-PAL,341,U1417,B,41,41-CC,H,CC,PAL,0,5,293.77,293.82,,,,M [P15],P [A83],,,D [A84],,,,,,,,,,,D [A84],A [A84],,,,,Rich in sandy terrigenous grains with the resence of light brown colored foraminifers.,,,
341-U1417B-45X-CC-PAL,341,U1417,B,45,45-CC,H,CC,PAL,0,5,332.12,332.17,,,,,B [A83],,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,